8	1	10.076	20	44
8	1	12.404	20	44
8	1	6.309	20	44
8	1	7.314	20	44
8	1	5.127	20	44
8	2	6.498	20	44
8	2	4.615	20	44
8	2	4.605	20	44
8	2	4.290	20	44
8	2	4.686	20	44
8	4	4.560	20	44
8	4	36.496	20	44
8	4	5.510	20	44
8	4	10.296	20	44
8	4	6.557	20	44
8	8	21.808	20	44
8	8	21.838	20	44
8	8	6.633	20	44
8	8	4.887	20	44
8	8	4.493	20	44
8	16	5.165	20	44
8	16	4.804	20	44
8	16	4.942	20	44
8	16	4.771	20	44
8	16	4.781	20	44
8	32	5.194	20	44
8	32	9.493	20	44
8	32	99.521	20	44
8	32	19.154	20	44
8	32	5.650	20	44
10	1	7.365	35	65
10	1	8.748	35	65
10	1	8.141	35	65
10	1	8.694	35	65
10	1	8.169	35	65
10	2	11.705	35	65
10	2	20.206	35	65
10	2	10.374	35	65
10	2	7.975	35	65
10	2	9.418	35	65
10	4	10.703	35	65
10	4	10.057	35	65
10	4	7.835	35	65
10	4	12.596	35	65
10	4	9.194	35	65
10	8	8.852	35	65
10	8	7.442	35	65
10	8	14.371	35	65
10	8	19.397	35	65
10	8	19.285	35	65
10	16	7.870	35	65
10	16	8.363	35	65
10	16	8.341	35	65
10	16	21.937	35	65
10	16	9.098	35	65
10	32	30.138	35	65
10	32	42.110	35	65
10	32	88.518	35	65
10	32	47.442	35	65
10	32	8.685	35	65
25	1	113.640	406	219
25	1	126.715	406	219
25	1	130.869	406	219
25	1	119.736	406	219
25	1	137.533	406	219
25	2	144.359	406	219
25	2	77.570	406	219
25	2	101.126	406	219
25	2	81.755	406	219
25	2	115.154	406	219
25	4	228.134	406	219
25	4	80.441	406	219
25	4	113.686	406	219
25	4	74.643	406	219
25	4	103.105	406	219
25	8	230.083	406	219
25	8	106.393	406	219
25	8	302.147	406	219
25	8	212.254	406	219
25	8	185.689	406	219
25	16	464.498	406	219
25	16	318.475	406	219
25	16	372.345	406	219
25	16	589.180	406	219
25	16	457.608	406	219
25	32	742.973	406	219
25	32	1042.887	406	219
25	32	947.113	406	219
25	32	619.521	406	219
25	32	638.256	406	219
50	1	1203.714	1238	1262
50	1	1198.920	1238	1262
50	1	1179.452	1238	1262
50	1	1341.552	1238	1262
50	1	1341.906	1238	1262
50	2	1107.975	1238	1262
50	2	1170.774	1238	1262
50	2	1059.007	1238	1262
50	2	948.114	1238	1262
50	2	1080.740	1238	1262
50	4	1403.635	1238	1262
50	4	987.051	1238	1262
50	4	900.774	1238	1262
50	4	939.679	1238	1262
50	4	1049.489	1238	1262
50	8	1667.363	1238	1262
50	8	1920.324	1238	1262
50	8	1876.871	1238	1262
50	8	1857.404	1238	1262
50	8	2395.273	1238	1262
50	16	4159.214	1238	1262
50	16	3580.517	1238	1262
50	16	3022.559	1238	1262
50	16	3910.467	1238	1262
50	16	3368.181	1238	1262
50	32	7933.756	1238	1262
50	32	6869.459	1238	1262
